DATE,"Unemployment Rate College Graduates Bachelor's Degree and Higher, 25 years and over"
7/1/2016,2.8
8/1/2016,3
9/1/2016,2.5
10/1/2016,2.5
11/1/2016,2.2
12/1/2016,2.3
1/1/2017,2.5
2/1/2017,2.4
3/1/2017,2.4
4/1/2017,2.3
5/1/2017,2.1
6/1/2017,2.4
7/1/2017,2.6
8/1/2017,2.7
9/1/2017,2.2
10/1/2017,2
11/1/2017,1.9
12/1/2017,2
1/1/2018,2.2
2/1/2018,2.2
3/1/2018,2.2
4/1/2018,1.9
5/1/2018,1.8
6/1/2018,2.4
7/1/2018,2.5
8/1/2018,2.3
9/1/2018,2
10/1/2018,2
11/1/2018,2.1
12/1/2018,2
