DATE,Civilian Labor Force Participation Rate 20 to 24 years
1/1/1948,64.4
2/1/1948,64.9
3/1/1948,63.3
4/1/1948,63.7
5/1/1948,63.7
6/1/1948,64.6
7/1/1948,64.9
8/1/1948,64.5
9/1/1948,64.4
10/1/1948,63.7
11/1/1948,63.9
12/1/1948,63.9
1/1/1949,63
2/1/1949,63.7
3/1/1949,64.9
4/1/1949,63.9
5/1/1949,65.5
6/1/1949,65.3
7/1/1949,65.9
8/1/1949,65.9
9/1/1949,65.2
10/1/1949,65.2
11/1/1949,65.9
12/1/1949,65.7
1/1/1950,66.3
2/1/1950,66.2
3/1/1950,65.4
4/1/1950,66.4
5/1/1950,65.7
6/1/1950,64.9
7/1/1950,64.1
8/1/1950,65.7
9/1/1950,66.4
10/1/1950,66
11/1/1950,66.1
12/1/1950,66.4
1/1/1951,65.4
2/1/1951,65.6
3/1/1951,66.7
4/1/1951,65.1
5/1/1951,65.1
6/1/1951,64.9
7/1/1951,64.7
8/1/1951,63.9
9/1/1951,63.7
10/1/1951,64.2
11/1/1951,64.6
12/1/1951,65.1
1/1/1952,64.3
2/1/1952,64.1
3/1/1952,62.9
4/1/1952,63
5/1/1952,62.3
6/1/1952,62.7
7/1/1952,62.1
8/1/1952,61.6
9/1/1952,60.9
10/1/1952,59.8
11/1/1952,60.8
12/1/1952,62
1/1/1953,62.7
2/1/1953,63.3
3/1/1953,62.1
4/1/1953,62
5/1/1953,62.7
6/1/1953,61.1
7/1/1953,61.1
8/1/1953,60.7
9/1/1953,60.2
10/1/1953,59.3
11/1/1953,59.8
12/1/1953,59.9
1/1/1954,59.5
2/1/1954,60.8
3/1/1954,61.9
4/1/1954,62.3
5/1/1954,62.1
6/1/1954,61.2
7/1/1954,61.8
8/1/1954,61.8
9/1/1954,63.4
10/1/1954,61.6
11/1/1954,62.3
12/1/1954,60.6
1/1/1955,61.1
2/1/1955,62.1
3/1/1955,61.8
4/1/1955,62.3
5/1/1955,61.4
6/1/1955,61.3
7/1/1955,62.4
8/1/1955,62.7
9/1/1955,63.4
10/1/1955,63.4
11/1/1955,64.6
12/1/1955,64.4
1/1/1956,63
2/1/1956,63.7
3/1/1956,63.6
4/1/1956,63.8
5/1/1956,64.2
6/1/1956,64.8
7/1/1956,64.3
8/1/1956,64
9/1/1956,64.2
10/1/1956,64.6
11/1/1956,64.5
12/1/1956,64.2
1/1/1957,64.9
2/1/1957,63.9
3/1/1957,64.1
4/1/1957,63.7
5/1/1957,63.6
6/1/1957,64.6
7/1/1957,65.2
8/1/1957,64.2
9/1/1957,63.7
10/1/1957,63.3
11/1/1957,63.5
12/1/1957,63.9
1/1/1958,64
2/1/1958,63.7
3/1/1958,63.6
4/1/1958,64.5
5/1/1958,64.6
6/1/1958,64.9
7/1/1958,65.3
8/1/1958,65.2
9/1/1958,64.5
10/1/1958,65
11/1/1958,64.3
12/1/1958,63.5
1/1/1959,63.6
2/1/1959,63.4
3/1/1959,64.1
4/1/1959,64.4
5/1/1959,63.6
6/1/1959,63.7
7/1/1959,63.9
8/1/1959,64.2
9/1/1959,65
10/1/1959,65.1
11/1/1959,64.7
12/1/1959,65.3
1/1/1960,64.2
2/1/1960,65.2
3/1/1960,64.7
4/1/1960,65.9
5/1/1960,65.9
6/1/1960,65.4
7/1/1960,65.4
8/1/1960,65
9/1/1960,65.1
10/1/1960,64.5
11/1/1960,65.6
12/1/1960,65.4
1/1/1961,66.7
2/1/1961,66.9
3/1/1961,66.3
4/1/1961,66
5/1/1961,64.8
6/1/1961,63.6
7/1/1961,64.3
8/1/1961,65.2
9/1/1961,66.9
10/1/1961,65.6
11/1/1961,65.8
12/1/1961,65.6
1/1/1962,65.2
2/1/1962,64.2
3/1/1962,63.9
4/1/1962,64.5
5/1/1962,64.9
6/1/1962,65.1
7/1/1962,65.5
8/1/1962,66.2
9/1/1962,65.6
10/1/1962,66.3
11/1/1962,66
12/1/1962,65.3
1/1/1963,65.3
2/1/1963,65.7
3/1/1963,65.3
4/1/1963,65.4
5/1/1963,64.7
6/1/1963,64.9
7/1/1963,65.7
8/1/1963,65.1
9/1/1963,65.2
10/1/1963,65
11/1/1963,64.8
12/1/1963,64.8
1/1/1964,65.4
2/1/1964,65.5
3/1/1964,65.6
4/1/1964,66.9
5/1/1964,66.6
6/1/1964,65.6
7/1/1964,65.9
8/1/1964,66.7
9/1/1964,66.8
10/1/1964,66.8
11/1/1964,66.5
12/1/1964,66.5
1/1/1965,66.2
2/1/1965,66.4
3/1/1965,66.3
4/1/1965,66.8
5/1/1965,66.8
6/1/1965,66.3
7/1/1965,66.7
8/1/1965,66.3
9/1/1965,65.5
10/1/1965,65.7
11/1/1965,66.6
12/1/1965,66.3
1/1/1966,66.5
2/1/1966,66.2
3/1/1966,66.4
4/1/1966,67.1
5/1/1966,67.6
6/1/1966,67.1
7/1/1966,65.9
8/1/1966,66.2
9/1/1966,65.6
10/1/1966,66.2
11/1/1966,66.3
12/1/1966,67.2
1/1/1967,67
2/1/1967,67.1
3/1/1967,67
4/1/1967,67
5/1/1967,67.1
6/1/1967,67.3
7/1/1967,67.1
8/1/1967,66.8
9/1/1967,66.9
10/1/1967,66.7
11/1/1967,67.5
12/1/1967,67.9
1/1/1968,66.7
2/1/1968,66.7
3/1/1968,66.6
4/1/1968,66.4
5/1/1968,66.8
6/1/1968,67.3
7/1/1968,67.4
8/1/1968,67.2
9/1/1968,67.1
10/1/1968,67
11/1/1968,67
12/1/1968,67.4
1/1/1969,67.1
2/1/1969,68.1
3/1/1969,68.2
4/1/1969,68.3
5/1/1969,67.7
6/1/1969,68.9
7/1/1969,68.4
8/1/1969,68.5
9/1/1969,68.4
10/1/1969,68.1
11/1/1969,68.1
12/1/1969,68
1/1/1970,68.9
2/1/1970,69
3/1/1970,68.8
4/1/1970,69
5/1/1970,69
6/1/1970,68.5
7/1/1970,69.4
8/1/1970,69.3
9/1/1970,69.8
10/1/1970,69.5
11/1/1970,69.5
12/1/1970,69.7
1/1/1971,69.2
2/1/1971,68.6
3/1/1971,68.6
4/1/1971,69.1
5/1/1971,69.3
6/1/1971,68.1
7/1/1971,69
8/1/1971,69.6
9/1/1971,69.8
10/1/1971,69.7
11/1/1971,69.8
12/1/1971,70.7
1/1/1972,69.7
2/1/1972,69.8
3/1/1972,70
4/1/1972,70.1
5/1/1972,70.4
6/1/1972,70.5
7/1/1972,70.8
8/1/1972,71.1
9/1/1972,71.2
10/1/1972,71.6
11/1/1972,71.5
12/1/1972,71.8
1/1/1973,71.7
2/1/1973,72.3
3/1/1973,72.7
4/1/1973,72.7
5/1/1973,72.4
6/1/1973,72.6
7/1/1973,72.6
8/1/1973,72.1
9/1/1973,72.5
10/1/1973,72.8
11/1/1973,73.1
12/1/1973,73.4
1/1/1974,73.6
2/1/1974,74.1
3/1/1974,73.8
4/1/1974,73.7
5/1/1974,74
6/1/1974,73.6
7/1/1974,73.8
8/1/1974,73.9
9/1/1974,74.4
10/1/1974,74.3
11/1/1974,74.6
12/1/1974,74.6
1/1/1975,74.3
2/1/1975,74
3/1/1975,74.1
4/1/1975,74.2
5/1/1975,74.6
6/1/1975,73.5
7/1/1975,74.2
8/1/1975,74.2
9/1/1975,74.2
10/1/1975,73.7
11/1/1975,73.1
12/1/1975,73.7
1/1/1976,73.8
2/1/1976,74
3/1/1976,74.1
4/1/1976,75
5/1/1976,74.9
6/1/1976,74.7
7/1/1976,75.3
8/1/1976,74.7
9/1/1976,74.4
10/1/1976,74.9
11/1/1976,75.4
12/1/1976,75.5
1/1/1977,75.3
2/1/1977,75.7
3/1/1977,75.7
4/1/1977,75.1
5/1/1977,75.1
6/1/1977,76
7/1/1977,75.6
8/1/1977,76
9/1/1977,76
10/1/1977,75.7
11/1/1977,75.8
12/1/1977,76
1/1/1978,76.4
2/1/1978,75.9
3/1/1978,76.1
4/1/1978,76.7
5/1/1978,76.3
6/1/1978,77.3
7/1/1978,76.8
8/1/1978,77.1
9/1/1978,77.1
10/1/1978,77.2
11/1/1978,77
12/1/1978,77.3
1/1/1979,77.3
2/1/1979,77.9
3/1/1979,77.9
4/1/1979,77.6
5/1/1979,77.2
6/1/1979,77.4
7/1/1979,77.5
8/1/1979,77.4
9/1/1979,77.8
10/1/1979,77.3
11/1/1979,77.1
12/1/1979,77.3
1/1/1980,77.4
2/1/1980,77.3
3/1/1980,76.9
4/1/1980,77.2
5/1/1980,77.8
6/1/1980,76.9
7/1/1980,77.1
8/1/1980,77.1
9/1/1980,77
10/1/1980,77.6
11/1/1980,77.4
12/1/1980,77
1/1/1981,77.7
2/1/1981,77.4
3/1/1981,77.4
4/1/1981,77.6
5/1/1981,78
6/1/1981,77
7/1/1981,77.2
8/1/1981,77.3
9/1/1981,76.9
10/1/1981,77.5
11/1/1981,76.9
12/1/1981,77.1
1/1/1982,76.8
2/1/1982,77
3/1/1982,77.3
4/1/1982,77.2
5/1/1982,77.1
6/1/1982,77.3
7/1/1982,77
8/1/1982,77.2
9/1/1982,77
10/1/1982,77.1
11/1/1982,77.5
12/1/1982,77.6
1/1/1983,77.1
2/1/1983,77.4
3/1/1983,76.9
4/1/1983,76.9
5/1/1983,76.1
6/1/1983,77.6
7/1/1983,77.7
8/1/1983,77.7
9/1/1983,77.5
10/1/1983,77
11/1/1983,77.1
12/1/1983,76.6
1/1/1984,77
2/1/1984,76.9
3/1/1984,77.2
4/1/1984,77.5
5/1/1984,77.6
6/1/1984,78.2
7/1/1984,77.8
8/1/1984,77
9/1/1984,77.6
10/1/1984,77.7
11/1/1984,78.1
12/1/1984,77.9
1/1/1985,78.2
2/1/1985,78
3/1/1985,77.9
4/1/1985,78.1
5/1/1985,78
6/1/1985,77.9
7/1/1985,77.6
8/1/1985,77.8
9/1/1985,78.6
10/1/1985,78.9
11/1/1985,78.8
12/1/1985,79.1
1/1/1986,78.5
2/1/1986,79.2
3/1/1986,79.1
4/1/1986,78.6
5/1/1986,78.5
6/1/1986,78.6
7/1/1986,78.8
8/1/1986,78.6
9/1/1986,79.3
10/1/1986,78.9
11/1/1986,79.4
12/1/1986,79.6
1/1/1987,79.6
2/1/1987,79.6
3/1/1987,79.3
4/1/1987,79
5/1/1987,79.1
6/1/1987,78.5
7/1/1987,78.9
8/1/1987,79
9/1/1987,78.9
10/1/1987,78.4
11/1/1987,78.8
12/1/1987,78.2
1/1/1988,79.4
2/1/1988,79.4
3/1/1988,78.8
4/1/1988,78.8
5/1/1988,78.2
6/1/1988,78.2
7/1/1988,78.4
8/1/1988,78.7
9/1/1988,78.7
10/1/1988,78.7
11/1/1988,78.4
12/1/1988,78.6
1/1/1989,78.7
2/1/1989,78.7
3/1/1989,78.8
4/1/1989,78.8
5/1/1989,78.2
6/1/1989,79.4
7/1/1989,79.5
8/1/1989,79.4
9/1/1989,78.4
10/1/1989,77.9
11/1/1989,78.4
12/1/1989,77.1
1/1/1990,77.9
2/1/1990,78.2
3/1/1990,78
4/1/1990,77.8
5/1/1990,78.1
6/1/1990,77.9
