DATE,Civilian Labor Force Participation Rate 16 to 19 years
1/1/1948,53.2
2/1/1948,53.7
3/1/1948,54.1
4/1/1948,54.2
5/1/1948,50.9
6/1/1948,53.8
7/1/1948,52.6
8/1/1948,51.5
9/1/1948,51.5
10/1/1948,50.6
11/1/1948,51
12/1/1948,53.1
1/1/1949,52.8
2/1/1949,53.7
3/1/1949,54.5
4/1/1949,53
5/1/1949,53.4
6/1/1949,49.8
7/1/1949,50.3
8/1/1949,51.7
9/1/1949,53.1
10/1/1949,52.5
11/1/1949,52.9
12/1/1949,52.6
1/1/1950,51.9
2/1/1950,51.7
3/1/1950,50.2
4/1/1950,50.8
5/1/1950,50.9
6/1/1950,50.4
7/1/1950,50.8
8/1/1950,52
9/1/1950,52.5
10/1/1950,53.5
11/1/1950,52.6
12/1/1950,52.5
1/1/1951,51.4
2/1/1951,51
3/1/1951,53.3
4/1/1951,50.9
5/1/1951,52.6
6/1/1951,51.3
7/1/1951,52.6
8/1/1951,53
9/1/1951,52.7
10/1/1951,52.4
11/1/1951,51.9
12/1/1951,52.9
1/1/1952,52.2
2/1/1952,51.8
3/1/1952,50.9
4/1/1952,50.7
5/1/1952,52.3
6/1/1952,52.8
7/1/1952,51.2
8/1/1952,50
9/1/1952,50.5
10/1/1952,50.2
11/1/1952,51.4
12/1/1952,51.1
1/1/1953,52.4
2/1/1953,54
3/1/1953,53.1
4/1/1953,51.8
5/1/1953,49.5
6/1/1953,50.9
7/1/1953,49.5
8/1/1953,49.6
9/1/1953,49.1
10/1/1953,48.2
11/1/1953,48.9
12/1/1953,49.2
1/1/1954,50.9
2/1/1954,51.4
3/1/1954,51.7
4/1/1954,50.1
5/1/1954,48.6
6/1/1954,46.3
7/1/1954,47.1
8/1/1954,48
9/1/1954,48.5
10/1/1954,47.3
11/1/1954,46.3
12/1/1954,44.6
1/1/1955,46.8
2/1/1955,45.4
3/1/1955,46.3
4/1/1955,47.3
5/1/1955,47.6
6/1/1955,46.7
7/1/1955,48.4
8/1/1955,49.6
9/1/1955,50.5
10/1/1955,51.1
11/1/1955,52.7
12/1/1955,53.4
1/1/1956,51.4
2/1/1956,50.5
3/1/1956,50
4/1/1956,49.4
5/1/1956,52.1
6/1/1956,52.5
7/1/1956,51.7
8/1/1956,50.6
9/1/1956,50.3
10/1/1956,49.7
11/1/1956,50.4
12/1/1956,50.3
1/1/1957,49.5
2/1/1957,49.8
3/1/1957,50.6
4/1/1957,49.5
5/1/1957,49.4
6/1/1957,50.2
7/1/1957,50.2
8/1/1957,48.4
9/1/1957,49.3
10/1/1957,49.3
11/1/1957,49.4
12/1/1957,49.3
1/1/1958,47.4
2/1/1958,48
3/1/1958,47.5
4/1/1958,48.1
5/1/1958,48.9
6/1/1958,46.5
7/1/1958,46.8
8/1/1958,47.1
9/1/1958,47.9
10/1/1958,47.9
11/1/1958,46.8
12/1/1958,47.1
1/1/1959,47.5
2/1/1959,46.7
3/1/1959,46.7
4/1/1959,47.7
5/1/1959,46.2
6/1/1959,46
7/1/1959,46.3
8/1/1959,46.6
9/1/1959,46.9
10/1/1959,46.6
11/1/1959,46.3
12/1/1959,47.4
1/1/1960,47.2
2/1/1960,47.4
3/1/1960,46.7
4/1/1960,48.5
5/1/1960,48.1
6/1/1960,49.7
7/1/1960,47.3
8/1/1960,46.9
9/1/1960,47.4
10/1/1960,47.3
11/1/1960,47.4
12/1/1960,46.5
1/1/1961,47.4
2/1/1961,46.7
3/1/1961,47.6
4/1/1961,46
5/1/1961,45.8
6/1/1961,47.8
7/1/1961,47.1
8/1/1961,48
9/1/1961,46.4
10/1/1961,46.4
11/1/1961,47.4
12/1/1961,45.6
1/1/1962,45.6
2/1/1962,45.9
3/1/1962,46.8
4/1/1962,46.5
5/1/1962,47.4
6/1/1962,47.8
7/1/1962,46.5
8/1/1962,46.4
9/1/1962,45.8
10/1/1962,45.3
11/1/1962,44.9
12/1/1962,44.8
1/1/1963,45.4
2/1/1963,45.1
3/1/1963,44.8
4/1/1963,45.3
5/1/1963,46.2
6/1/1963,44.6
7/1/1963,45
8/1/1963,44.8
9/1/1963,45.7
10/1/1963,45.8
11/1/1963,44.8
12/1/1963,43.9
1/1/1964,44.4
2/1/1964,45.3
3/1/1964,45
4/1/1964,44
5/1/1964,44.8
6/1/1964,44.4
7/1/1964,44
8/1/1964,44.2
9/1/1964,45.5
10/1/1964,44.1
11/1/1964,44.1
12/1/1964,44.3
1/1/1965,43
2/1/1965,43.7
3/1/1965,44.1
4/1/1965,45.3
5/1/1965,45.6
6/1/1965,44
7/1/1965,46.3
8/1/1965,45.5
9/1/1965,46.5
10/1/1965,47.8
11/1/1965,47.1
12/1/1965,48.1
1/1/1966,48
2/1/1966,46.7
3/1/1966,46.9
4/1/1966,47.4
5/1/1966,46.9
6/1/1966,48.5
7/1/1966,49.1
8/1/1966,49.3
9/1/1966,47.5
10/1/1966,48.2
11/1/1966,49.1
12/1/1966,49.3
1/1/1967,48.3
2/1/1967,48.2
3/1/1967,47.5
4/1/1967,47.6
5/1/1967,47.2
6/1/1967,48.8
7/1/1967,49
8/1/1967,49.5
9/1/1967,48.3
10/1/1967,48.7
11/1/1967,48.3
12/1/1967,48.3
1/1/1968,46.6
2/1/1968,48.5
3/1/1968,48.2
4/1/1968,47.9
5/1/1968,48.2
6/1/1968,49.3
7/1/1968,49.1
8/1/1968,49
9/1/1968,47.9
10/1/1968,48
11/1/1968,47.7
12/1/1968,47.8
1/1/1969,47.7
2/1/1969,47.8
3/1/1969,48.3
4/1/1969,48.7
5/1/1969,47.5
6/1/1969,49.6
7/1/1969,50
8/1/1969,50
9/1/1969,50.5
10/1/1969,50.9
11/1/1969,50.9
12/1/1969,50.4
1/1/1970,50.4
2/1/1970,50.3
3/1/1970,50.4
4/1/1970,49.9
5/1/1970,49.7
6/1/1970,49
7/1/1970,49.4
8/1/1970,49.7
9/1/1970,50.4
10/1/1970,50.1
11/1/1970,50.1
12/1/1970,49.8
1/1/1971,50
2/1/1971,49.9
3/1/1971,49.3
4/1/1971,49.7
5/1/1971,49.4
6/1/1971,47.5
7/1/1971,50.5
8/1/1971,50.5
9/1/1971,49.3
10/1/1971,49.7
11/1/1971,50.5
12/1/1971,50.6
1/1/1972,51.1
2/1/1972,51.4
3/1/1972,51.9
4/1/1972,51.8
5/1/1972,51.5
6/1/1972,51.9
7/1/1972,51.6
8/1/1972,52.9
9/1/1972,51.6
10/1/1972,51.9
11/1/1972,52.4
12/1/1972,52.8
1/1/1973,50.8
2/1/1973,52.9
3/1/1973,53.5
4/1/1973,53.7
5/1/1973,53.2
6/1/1973,54.5
7/1/1973,53.3
8/1/1973,53.2
9/1/1973,54.3
10/1/1973,54.8
11/1/1973,55.1
12/1/1973,55.1
1/1/1974,55.1
2/1/1974,55.2
3/1/1974,55
4/1/1974,53.8
5/1/1974,54.3
6/1/1974,55.3
7/1/1974,54.9
8/1/1974,53.8
9/1/1974,55.7
10/1/1974,55.5
11/1/1974,55.1
12/1/1974,54.4
1/1/1975,54.9
2/1/1975,54.1
3/1/1975,54.1
4/1/1975,53.6
5/1/1975,54.7
6/1/1975,53.8
7/1/1975,54.1
8/1/1975,53.8
9/1/1975,54.1
10/1/1975,53.5
11/1/1975,53.2
12/1/1975,53.8
1/1/1976,54.2
2/1/1976,54.2
3/1/1976,54.4
4/1/1976,55.2
5/1/1976,55.1
6/1/1976,53.8
7/1/1976,55.3
8/1/1976,55.1
9/1/1976,53.9
10/1/1976,54.4
11/1/1976,54.4
12/1/1976,54.1
1/1/1977,54.2
2/1/1977,55.2
3/1/1977,55.5
4/1/1977,55.7
5/1/1977,55.6
6/1/1977,57
7/1/1977,56.1
8/1/1977,57.2
9/1/1977,55.9
10/1/1977,56.5
11/1/1977,57.2
12/1/1977,56.3
1/1/1978,56.7
2/1/1978,56.6
3/1/1978,56.5
4/1/1978,57
5/1/1978,57.9
6/1/1978,58.5
7/1/1978,58.4
8/1/1978,59.3
9/1/1978,58.1
10/1/1978,58.3
11/1/1978,58.2
12/1/1978,58.2
1/1/1979,58.5
2/1/1979,58.6
3/1/1979,58.4
4/1/1979,57.9
5/1/1979,57.3
6/1/1979,58
7/1/1979,57.7
8/1/1979,56.8
9/1/1979,57.8
10/1/1979,57.5
11/1/1979,57.7
12/1/1979,58.3
1/1/1980,57.7
2/1/1980,57.2
3/1/1980,57.2
4/1/1980,55.9
5/1/1980,57
6/1/1980,57
7/1/1980,57.3
8/1/1980,55.9
9/1/1980,56.3
10/1/1980,56.6
11/1/1980,56.2
12/1/1980,55.9
1/1/1981,56.7
2/1/1981,56.6
3/1/1981,56.4
4/1/1981,57
5/1/1981,56.3
6/1/1981,54
7/1/1981,54.5
8/1/1981,55.2
9/1/1981,54.8
10/1/1981,55
11/1/1981,55.2
12/1/1981,53.8
1/1/1982,54.4
2/1/1982,54.7
3/1/1982,53.8
4/1/1982,54.3
5/1/1982,55.3
6/1/1982,52.5
7/1/1982,53.2
8/1/1982,54.2
9/1/1982,54
10/1/1982,54.4
11/1/1982,54.7
12/1/1982,53.9
1/1/1983,53.7
2/1/1983,52.7
3/1/1983,52.5
4/1/1983,52.6
5/1/1983,52.2
6/1/1983,55.2
7/1/1983,53.8
8/1/1983,55.1
9/1/1983,53.8
10/1/1983,53
11/1/1983,53.6
12/1/1983,53.8
1/1/1984,53.2
2/1/1984,53.3
3/1/1984,53.3
4/1/1984,53.9
5/1/1984,53.8
6/1/1984,55.2
7/1/1984,54.8
8/1/1984,53.3
9/1/1984,54.4
10/1/1984,53.9
11/1/1984,53.8
12/1/1984,54.5
1/1/1985,55
2/1/1985,54.9
3/1/1985,55.3
4/1/1985,54.7
5/1/1985,55
6/1/1985,53
7/1/1985,55.5
8/1/1985,53.4
9/1/1985,54.1
10/1/1985,54.5
11/1/1985,54.3
12/1/1985,54.1
1/1/1986,53.3
2/1/1986,54.6
3/1/1986,55.1
4/1/1986,55.6
5/1/1986,55.2
6/1/1986,55.4
7/1/1986,54.7
8/1/1986,54.6
9/1/1986,54.8
10/1/1986,54.9
11/1/1986,54.2
12/1/1986,53.4
1/1/1987,54
2/1/1987,54.8
3/1/1987,54.4
4/1/1987,54.4
5/1/1987,55.3
6/1/1987,53.7
7/1/1987,54.1
8/1/1987,56.2
9/1/1987,54.3
10/1/1987,55.1
11/1/1987,54.6
12/1/1987,55.4
1/1/1988,55.6
2/1/1988,55
3/1/1988,53.8
4/1/1988,54.4
5/1/1988,54.2
6/1/1988,56.4
7/1/1988,56.4
8/1/1988,56.6
9/1/1988,56.1
10/1/1988,55.1
11/1/1988,54.8
12/1/1988,55.1
1/1/1989,55.6
2/1/1989,54.8
3/1/1989,54.5
4/1/1989,55.5
5/1/1989,55.5
