DATE,Civilian Labor Force Participation Rate Men
9/1/2016,69.3
10/1/2016,69.2
11/1/2016,69.1
12/1/2016,69.1
1/1/2017,69.2
2/1/2017,69.2
3/1/2017,69.1
4/1/2017,69.1
5/1/2017,69
6/1/2017,69
7/1/2017,68.9
8/1/2017,69.1
9/1/2017,69.3
10/1/2017,69
11/1/2017,69
12/1/2017,69
1/1/2018,69.2
2/1/2018,69.4
3/1/2018,69.3
4/1/2018,69.2
5/1/2018,69.2
6/1/2018,69
7/1/2018,68.9
8/1/2018,68.8
9/1/2018,68.8
10/1/2018,68.9
11/1/2018,69
12/1/2018,69
